Timestamp,Reactor_Temperature,Regenerator_Temperature,Reactor_Pressure,Feed_Flow_Rate,Catalyst_to_Oil_Ratio,Catalyst_Activity,Air_Flow_Rate,Fractionator_Top_Temp,Fractionator_Bottom_Temp,Feedstock_Quality_Index,Setpoint_Reactor_Temp,Setpoint_Regenerator_Temp,PID_Kp,PID_Ki,PID_Kd,Fuzzy_Adjustment_Factor,Product_Yield,Conversion_Rate,Energy_Consumption,Emissions_NOx,Emissions_SOx,Control_Stability_Index,Reward_Score,Feed_Change_Event,Catalyst_Replacement,External_Disturbance_Type
2025-01-01 00:00:00,536.13,650.96,169.93,84.85,5.31,92.56,60143.25,174.59,326.33,0.75,539.28,708.53,0.5,0.38,0.03,1.17,48.26,86.51,121.73,141.28,18.04,0.98,0.321,0,0,None
2025-01-01 00:05:00,548.61,743.6,162.86,95.56,5.81,73.81,56238.22,179.14,300.26,0.78,510.17,700.72,0.96,0.01,0.0,0.83,44.58,73.83,105.73,81.04,52.43,0.9,0.385,0,0,None
2025-01-01 00:10:00,558.24,694.41,199.85,55.34,4.42,87.44,53535.07,199.81,301.84,0.9,527.83,702.24,0.84,0.14,0.06,1.16,41.72,80.85,187.02,50.12,36.62,0.93,0.371,1,0,None
2025-01-01 00:15:00,521.42,707.24,155.62,71.16,5.55,74.76,61834.69,191.75,339.07,0.76,509.91,699.97,1.29,0.3,0.05,0.83,48.76,76.99,155.12,89.15,58.08,0.8,0.347,0,0,None
2025-01-01 00:20:00,554.45,731.65,223.78,101.43,5.21,83.96,58353.17,159.02,331.24,0.73,532.49,705.61,1.91,0.43,0.06,1.11,44.34,89.92,137.94,51.4,18.67,0.99,0.332,0,0,AirFlowFluctuation
2025-01-01 00:25:00,501.43,700.33,184.99,92.94,6.07,98.87,67784.23,169.82,357.8,0.81,506.91,715.56,1.1,0.46,0.05,0.99,48.92,78.17,122.05,93.99,30.04,0.94,0.341,0,0,None
2025-01-01 00:30:00,485.46,716.95,185.05,116.78,4.5,95.69,79745.24,173.85,322.0,0.9,504.39,717.7,0.36,0.25,0.07,0.83,49.24,78.62,143.8,120.04,16.36,0.84,0.352,0,0,PowerDip
2025-01-01 00:35:00,535.62,699.21,176.52,76.1,5.18,91.46,79536.57,157.88,356.31,0.89,510.78,704.99,0.59,0.22,0.07,1.11,52.69,89.97,131.16,81.94,58.27,0.9,0.376,0,0,None
2025-01-01 00:40:00,519.02,651.31,216.87,73.61,5.37,73.19,59405.28,195.33,349.6,0.91,502.66,689.21,0.93,0.15,0.1,1.07,42.73,82.03,179.93,146.78,26.37,0.83,0.362,0,0,None
2025-01-01 00:45:00,558.39,663.22,202.07,85.04,7.85,83.06,77837.02,186.54,337.71,0.61,504.71,695.61,0.46,0.24,0.05,1.09,48.83,82.37,191.16,56.66,37.28,0.99,0.34,0,0,AirFlowFluctuation
2025-01-01 00:50:00,532.82,660.3,201.13,73.64,6.63,79.28,67656.39,181.1,328.41,0.84,515.2,688.43,1.95,0.47,0.02,0.84,55.11,88.62,148.12,116.17,12.82,0.96,0.347,0,0,None
2025-01-01 00:55:00,545.7,744.42,214.64,50.39,7.64,73.59,74103.14,158.37,352.5,0.94,516.52,719.9,0.53,0.44,0.04,1.07,49.66,80.99,157.86,103.81,36.12,0.98,0.328,0,0,None
2025-01-01 01:00:00,545.12,673.4,206.88,51.19,7.22,90.27,77487.3,191.8,300.77,0.91,528.96,689.61,0.42,0.23,0.01,1.15,47.15,70.81,154.7,85.58,20.7,0.82,0.32,0,0,None
2025-01-01 01:05:00,541.94,659.25,199.53,75.9,4.85,87.5,55977.8,165.47,316.78,0.94,502.65,695.56,1.15,0.08,0.05,1.13,54.55,82.26,183.09,91.02,59.26,0.94,0.369,0,0,PowerDip
2025-01-01 01:10:00,550.03,674.5,154.65,106.47,7.8,79.41,79117.91,180.61,318.58,0.79,529.37,688.74,0.4,0.3,0.09,0.96,52.5,77.62,115.92,114.11,17.96,0.95,0.398,0,0,None
2025-01-01 01:15:00,527.19,675.37,222.76,81.44,6.73,74.34,57973.74,197.87,352.05,0.76,501.66,689.2,0.57,0.16,0.09,1.2,55.68,82.67,163.12,119.64,16.05,0.84,0.352,0,0,PowerDip
2025-01-01 01:20:00,482.57,688.23,206.87,79.13,5.43,68.24,57089.87,197.95,342.3,0.82,523.96,695.53,0.39,0.15,0.04,1.14,57.56,79.85,196.09,69.25,21.17,0.86,0.442,0,0,None
2025-01-01 01:25:00,509.38,719.26,218.24,60.5,7.93,64.95,54687.56,160.03,326.74,0.64,507.8,715.12,1.37,0.07,0.09,0.96,54.0,72.25,199.69,144.35,11.42,0.9,0.404,0,1,None
2025-01-01 01:30:00,487.01,704.45,195.5,117.82,4.92,92.95,53367.53,154.48,348.1,0.74,535.01,708.13,1.2,0.42,0.03,0.94,50.88,79.72,115.73,95.23,10.53,0.94,0.46,0,0,None
2025-01-01 01:35:00,513.37,671.23,183.51,53.17,5.26,88.8,73667.12,196.86,318.18,0.68,519.58,695.46,1.33,0.5,0.08,0.86,43.77,76.5,117.87,131.49,28.35,0.82,0.388,0,0,None
2025-01-01 01:40:00,481.99,709.71,180.3,104.84,5.46,96.59,56994.18,174.18,350.57,0.86,531.64,703.88,0.46,0.27,0.07,0.88,45.08,74.14,142.07,54.03,43.47,0.9,0.287,1,0,None
2025-01-01 01:45:00,503.16,725.66,216.2,59.76,7.63,80.03,79621.96,197.97,316.78,0.7,534.02,704.01,1.78,0.19,0.08,1.14,48.45,85.68,111.13,83.9,39.75,0.89,0.325,0,0,None
2025-01-01 01:50:00,545.56,663.39,213.09,111.11,6.7,69.33,64830.36,168.39,357.83,0.85,503.38,706.99,1.94,0.27,0.06,0.94,47.13,71.22,178.9,68.29,26.8,0.85,0.333,0,0,None
2025-01-01 01:55:00,556.04,725.85,212.18,78.65,4.54,84.38,62626.21,196.43,339.7,0.9,517.09,699.73,1.06,0.23,0.0,1.01,43.58,71.49,128.34,89.58,16.55,0.88,0.438,0,0,None
2025-01-01 02:00:00,487.53,735.47,231.22,86.87,4.52,92.81,68223.62,162.71,310.03,0.9,509.23,692.54,1.93,0.4,0.06,1.02,54.62,71.08,104.74,57.03,20.29,0.87,0.349,0,0,None
2025-01-01 02:05:00,501.59,694.68,184.39,67.64,5.94,71.49,67750.55,198.33,354.26,0.99,530.2,690.0,1.87,0.47,0.02,0.82,49.31,86.86,152.82,116.23,18.49,0.91,0.363,0,0,None
2025-01-01 02:10:00,490.79,661.61,183.92,75.07,5.58,84.01,66730.75,165.86,346.61,0.88,526.75,706.78,0.29,0.5,0.09,1.03,47.52,85.72,120.11,86.96,12.96,0.99,0.405,0,0,None
2025-01-01 02:15:00,491.88,714.03,158.89,108.77,5.57,61.5,79025.24,199.54,358.36,0.79,522.74,683.89,1.58,0.35,0.06,0.94,57.79,82.37,196.79,64.35,54.54,0.83,0.344,0,0,None
2025-01-01 02:20:00,507.89,737.49,245.44,57.61,6.14,72.23,66463.35,170.97,302.4,0.89,530.86,688.93,0.98,0.44,0.04,1.08,48.88,70.82,187.71,53.33,30.59,0.82,0.394,0,0,None
2025-01-01 02:25:00,530.41,661.62,209.94,118.66,6.69,64.49,58868.82,187.81,312.58,0.76,504.54,680.94,0.83,0.04,0.03,0.87,50.71,71.03,183.62,137.24,25.91,0.83,0.414,0,0,None
2025-01-01 02:30:00,491.2,665.94,152.44,74.79,4.7,81.15,65818.17,191.15,357.58,0.65,521.0,689.15,1.58,0.23,0.03,0.9,59.2,87.0,141.01,95.24,50.32,0.99,0.319,0,0,None
2025-01-01 02:35:00,518.05,730.53,163.49,93.9,5.02,98.35,75486.75,161.44,359.96,0.94,503.68,709.17,1.99,0.38,0.06,1.19,49.82,85.53,192.66,51.42,27.82,0.86,0.42,0,0,None
2025-01-01 02:40:00,497.99,688.95,192.56,78.05,5.22,93.42,79279.89,196.96,310.36,0.68,510.62,703.42,1.93,0.31,0.1,1.11,52.55,83.26,162.3,147.14,50.96,0.88,0.411,0,0,None
2025-01-01 02:45:00,531.66,741.11,181.86,112.85,6.24,87.71,50535.56,197.08,309.68,0.73,523.36,684.04,1.0,0.43,0.08,1.03,49.85,80.86,183.51,80.36,51.26,0.87,0.34,0,0,AirFlowFluctuation
2025-01-01 02:50:00,485.9,686.0,207.0,82.05,7.08,72.51,54864.28,176.4,348.23,0.8,526.45,705.35,1.4,0.36,0.09,1.0,44.01,79.42,171.79,125.26,25.65,0.99,0.346,0,0,None
2025-01-01 02:55:00,489.52,744.85,164.11,102.45,7.08,66.34,53208.32,194.39,332.29,0.83,537.92,680.26,0.35,0.27,0.01,0.97,52.89,81.94,155.45,133.28,18.89,0.89,0.426,0,0,None
2025-01-01 03:00:00,514.55,684.65,164.91,80.41,4.5,79.23,61443.32,193.14,307.44,0.75,537.42,713.81,1.88,0.25,0.05,0.99,53.68,77.45,174.14,63.42,34.8,0.94,0.398,0,0,None
2025-01-01 03:05:00,525.93,706.73,153.79,107.35,5.71,78.02,73371.95,185.39,355.35,0.67,536.5,694.49,1.23,0.26,0.08,0.89,54.01,73.78,142.09,136.36,59.9,0.87,0.372,0,0,None
2025-01-01 03:10:00,517.25,655.24,165.14,80.95,5.86,94.55,70636.46,153.51,351.19,0.98,506.31,691.32,0.69,0.16,0.05,1.06,56.54,74.98,181.98,128.18,58.36,0.88,0.34,0,0,AirFlowFluctuation
2025-01-01 03:15:00,523.34,696.23,228.28,75.51,4.08,96.68,76620.8,171.59,336.63,0.65,525.02,716.25,1.85,0.17,0.01,1.04,59.45,79.79,126.9,60.76,13.62,0.87,0.368,0,0,None
2025-01-01 03:20:00,529.93,721.8,165.09,53.19,7.54,82.24,58208.44,190.28,342.95,0.92,509.3,680.33,0.47,0.26,0.09,0.88,41.76,77.44,196.03,54.66,31.55,0.87,0.398,0,0,None
2025-01-01 03:25:00,496.45,698.76,215.45,100.07,4.23,74.64,75579.53,181.61,319.33,0.9,509.44,716.02,1.36,0.28,0.09,0.97,44.6,77.2,103.21,139.88,29.53,0.91,0.441,0,0,PowerDip
2025-01-01 03:30:00,557.26,680.53,240.92,107.07,6.33,96.91,51548.61,172.53,337.32,0.79,523.12,689.5,1.94,0.07,0.07,1.12,51.08,70.39,174.06,102.81,56.07,0.83,0.367,0,0,None
2025-01-01 03:35:00,556.35,732.25,174.83,113.67,7.36,64.59,52042.17,197.82,333.89,0.83,523.64,712.83,0.88,0.37,0.09,1.01,55.09,72.08,195.2,137.75,15.83,0.9,0.391,0,0,None
2025-01-01 03:40:00,499.82,664.47,226.08,117.66,7.68,98.67,68147.12,173.41,351.77,0.65,524.7,699.36,1.15,0.23,0.08,0.89,51.22,75.85,107.03,53.47,43.65,0.9,0.36,0,0,None
2025-01-01 03:45:00,543.79,740.5,153.43,71.21,4.6,80.86,62966.84,185.99,335.83,0.77,530.26,715.11,0.96,0.39,0.03,1.02,53.09,87.23,146.97,131.37,40.35,0.82,0.356,0,0,None
